tile_id,split,train_rank,test_rank
CBERS_4A_WPM_20240630_208_154_L4_30_34,train,36.0,
CBERS_4A_WPM_20230704_206_153_L4_10_15,train,37.0,
CBERS_4A_WPM_20210827_211_151_L4_37_38,train,38.0,
CBERS_4A_WPM_20260709_209_150_L4_24_13,train,39.0,
CBERS_4A_WPM_20250708_214_151_L4_14_29,train,40.0,
CBERS_4A_WPM_20260709_209_150_L4_34_19,train,41.0,
CBERS_4A_WPM_20230704_206_152_L4_16_16,train,42.0,
CBERS_4A_WPM_20250612_213_151_L4_27_23,train,43.0,
CBERS_4A_WPM_20210827_211_152_L4_36_35,train,44.0,
CBERS_4A_WPM_20240731_208_152_L4_20_26,train,45.0,
CBERS_4A_WPM_20230705_212_149_L4_33_35,train,46.0,
CBERS_4A_WPM_20230704_206_153_L4_18_13,train,47.0,
CBERS_4A_WPM_20250708_214_151_L4_30_18,train,48.0,
CBERS_4A_WPM_20250702_209_149_L4_26_19,train,49.0,
CBERS_4A_WPM_20220729_212_150_L4_44_31,train,50.0,
CBERS_4A_WPM_20221124_207_153_L4_45_15,train,51.0,
CBERS_4A_WPM_20250813_213_150_L4_33_47,train,52.0,
CBERS_4A_WPM_20250813_213_150_L4_36_48,train,53.0,
CBERS_4A_WPM_20260618_207_154_L4_12_30,train,54.0,
CBERS_4A_WPM_20230704_206_151_L4_17_16,train,55.0,
CBERS_4A_WPM_20230830_207_151_L4_27_8,train,56.0,
CBERS_4A_WPM_20250611_207_152_L4_15_32,train,57.0,
CBERS_4A_WPM_20230704_206_151_L4_42_42,train,58.0,
CBERS_4A_WPM_20220803_211_148_L4_48_41,train,59.0,
CBERS_4A_WPM_20240706_213_149_L4_42_39,train,60.0,
CBERS_4A_WPM_20210701_210_153_L4_38_25,train,61.0,
CBERS_4A_WPM_20230704_206_152_L4_27_30,train,62.0,
CBERS_4A_WPM_20240731_208_151_L4_39_42,train,63.0,
CBERS_4A_WPM_20210701_210_152_L4_39_31,train,64.0,
CBERS_4A_WPM_20221124_207_153_L4_48_18,train,65.0,
CBERS_4A_WPM_20240731_208_151_L4_44_26,train,66.0,
CBERS_4A_WPM_20200730_209_152_L4_42_27,train,67.0,
CBERS_4A_WPM_20210701_210_151_L4_44_28,train,68.0,
CBERS_4A_WPM_20221124_207_153_L4_39_39,train,69.0,
CBERS_4A_WPM_20200730_209_152_L4_32_33,train,70.0,
CBERS_4A_WPM_20240630_208_154_L4_35_26,train,71.0,
CBERS_4A_WPM_20260629_211_149_L4_42_15,train,72.0,
CBERS_4A_WPM_20220729_212_150_L4_43_15,train,73.0,
CBERS_4A_WPM_20230704_206_151_L4_45_38,train,74.0,
CBERS_4A_WPM_20230830_207_155_L4_20_22,train,75.0,
CBERS_4A_WPM_20200730_209_151_L4_28_47,train,76.0,
CBERS_4A_WPM_20210827_211_152_L4_28_38,train,77.0,
CBERS_4A_WPM_20221124_207_153_L4_28_47,train,78.0,
CBERS_4A_WPM_20260629_211_149_L4_35_44,train,79.0,
